UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0 11月26 ?      00:01:33 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root          2      0  0 11月26 ?      00:00:00 [kthreadd]
root          4      2  0 11月26 ?      00:00:00 [kworker/0:0H]
root          6      2  0 11月26 ?      00:00:20 [ksoftirqd/0]
root          7      2  0 11月26 ?      00:00:00 [migration/0]
root          8      2  0 11月26 ?      00:00:00 [rcu_bh]
root          9      2  0 11月26 ?      00:00:34 [rcu_sched]
root         10      2  0 11月26 ?      00:00:00 [lru-add-drain]
root         11      2  0 11月26 ?      00:00:08 [watchdog/0]
root         13      2  0 11月26 ?      00:00:00 [kdevtmpfs]
root         14      2  0 11月26 ?      00:00:00 [netns]
root         15      2  0 11月26 ?      00:00:00 [khungtaskd]
root         16      2  0 11月26 ?      00:00:00 [writeback]
root         17      2  0 11月26 ?      00:00:00 [kintegrityd]
root         18      2  0 11月26 ?      00:00:00 [bioset]
root         19      2  0 11月26 ?      00:00:00 [bioset]
root         20      2  0 11月26 ?      00:00:00 [bioset]
root         21      2  0 11月26 ?      00:00:00 [kblockd]
root         22      2  0 11月26 ?      00:00:00 [md]
root         23      2  0 11月26 ?      00:00:00 [edac-poller]
root         24      2  0 11月26 ?      00:00:00 [watchdogd]
root         30      2  0 11月26 ?      00:00:11 [kswapd0]
root         31      2  0 11月26 ?      00:00:00 [ksmd]
root         32      2  0 11月26 ?      00:00:02 [khugepaged]
root         33      2  0 11月26 ?      00:00:00 [crypto]
root         41      2  0 11月26 ?      00:00:00 [kthrotld]
root         43      2  0 11月26 ?      00:00:00 [kmpath_rdacd]
root         44      2  0 11月26 ?      00:00:00 [kaluad]
root         45      2  0 11月26 ?      00:00:00 [kpsmoused]
root         47      2  0 11月26 ?      00:00:00 [ipv6_addrconf]
root         60      2  0 11月26 ?      00:00:00 [deferwq]
root         95      2  0 11月26 ?      00:00:00 [kauditd]
root        280      2  0 11月26 ?      00:00:00 [mpt_poll_0]
root        281      2  0 11月26 ?      00:00:00 [mpt/0]
root        285      2  0 11月26 ?      00:00:00 [nfit]
root        288      2  0 11月26 ?      00:00:00 [ata_sff]
root        291      2  0 11月26 ?      00:00:00 [scsi_eh_0]
root        292      2  0 11月26 ?      00:00:00 [scsi_tmf_0]
root        294      2  0 11月26 ?      00:00:00 [scsi_eh_1]
root        296      2  0 11月26 ?      00:00:00 [scsi_tmf_1]
root        297      2  0 11月26 ?      00:00:00 [scsi_eh_2]
root        298      2  0 11月26 ?      00:00:00 [scsi_tmf_2]
root        303      2  0 11月26 ?      00:00:06 [irq/16-vmwgfx]
root        304      2  0 11月26 ?      00:00:00 [ttm_swap]
root        375      2  0 11月26 ?      00:00:00 [kdmflush]
root        376      2  0 11月26 ?      00:00:00 [bioset]
root        386      2  0 11月26 ?      00:00:00 [kdmflush]
root        387      2  0 11月26 ?      00:00:00 [bioset]
root        399      2  0 11月26 ?      00:00:00 [bioset]
root        400      2  0 11月26 ?      00:00:00 [xfsalloc]
root        401      2  0 11月26 ?      00:00:00 [xfs_mru_cache]
root        402      2  0 11月26 ?      00:00:00 [xfs-buf/dm-0]
root        403      2  0 11月26 ?      00:00:00 [xfs-data/dm-0]
root        404      2  0 11月26 ?      00:00:00 [xfs-conv/dm-0]
root        405      2  0 11月26 ?      00:00:00 [xfs-cil/dm-0]
root        406      2  0 11月26 ?      00:00:00 [xfs-reclaim/dm-]
root        407      2  0 11月26 ?      00:00:00 [xfs-log/dm-0]
root        408      2  0 11月26 ?      00:00:00 [xfs-eofblocks/d]
root        409      2  0 11月26 ?      00:02:16 [xfsaild/dm-0]
root        410      2  0 11月26 ?      00:00:04 [kworker/0:1H]
root        500      1  0 11月26 ?      00:00:09 /usr/lib/systemd/systemd-journald
root        526      1  0 11月26 ?      00:00:00 /usr/sbin/lvmetad -f
root        541      1  0 11月26 ?      00:00:00 /usr/lib/systemd/systemd-udevd
root        726      2  0 11月26 ?      00:00:00 [xfs-buf/sda1]
root        730      2  0 11月26 ?      00:00:00 [xfs-data/sda1]
root        735      2  0 11月26 ?      00:00:00 [xfs-conv/sda1]
root        739      2  0 11月26 ?      00:00:00 [xfs-cil/sda1]
root        742      2  0 11月26 ?      00:00:00 [xfs-reclaim/sda]
root        748      2  0 11月26 ?      00:00:00 [xfs-log/sda1]
root        751      2  0 11月26 ?      00:00:00 [xfs-eofblocks/s]
root        754      2  0 11月26 ?      00:00:00 [xfsaild/sda1]
root        755      2  0 11月26 ?      00:00:00 [loop0]
root        757      2  0 11月26 ?      00:00:00 [loop1]
root        761      2  0 11月26 ?      00:00:00 [loop2]
root        765      2  0 11月26 ?      00:00:00 [loop3]
root        770      2  0 11月26 ?      00:00:00 [loop4]
root        775      2  0 11月26 ?      00:00:00 [loop5]
root       1120      1  0 11月26 ?      00:00:00 /sbin/auditd
root       1122   1120  0 11月26 ?      00:00:01 /sbin/audispd
root       1124   1122  0 11月26 ?      00:00:00 /usr/sbin/sedispatch
root       1127      2  0 11月26 ?      00:00:00 [rpciod]
root       1128      2  0 11月26 ?      00:00:00 [xprtiod]
root       1152      1  0 11月26 ?      00:00:00 /usr/sbin/abrtd -d -s
dbus       1157      1  0 11月26 ?      00:00:09 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
rpc        1159      1  0 11月26 ?      00:00:01 /sbin/rpcbind -w
chrony     1162      1  0 11月26 ?      00:00:01 /usr/sbin/chronyd
root       1169      1  0 11月26 ?      00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root       1170      1  0 11月26 ?      00:00:02 /usr/libexec/udisks2/udisksd
root       1171      1  0 11月26 ?      00:00:04 /usr/lib/systemd/systemd-logind
root       1172      1  0 11月26 ?      00:00:02 /usr/libexec/accounts-daemon
root       1174      1  0 11月26 ?      00:00:03 /usr/sbin/NetworkManager --no-daemon
rtkit      1177      1  0 11月26 ?      00:00:03 /usr/libexec/rtkit-daemon
avahi      1183      1  0 11月26 ?      00:00:04 avahi-daemon: running [linux.local]
root       1185      1  0 11月26 ?      00:00:00 /usr/bin/VGAuthService -s
root       1186      1  0 11月26 ?      00:12:02 /usr/bin/vmtoolsd
polkitd    1188      1  0 11月26 ?      00:01:46 /usr/lib/polkit-1/polkitd --no-debug
root       1191      1  0 11月26 ?      00:00:00 /usr/sbin/ModemManager
libstor+   1194      1  0 11月26 ?      00:00:02 /usr/bin/lsmd -d
